stazione_id,data,inquinante,valore
6,2019/01/23,PM10,78
6,2019/01/23,PM25,62
6,2019/01/23,NO2,94
6,2019/01/23,CO_8h,1.6
6,2019/01/23,C6H6,4.6
7,2019/01/23,PM10,70
7,2019/01/23,NO2,95
7,2019/01/23,O3,15
8,2019/01/23,NO2,
8,2019/01/23,CO_8h,
8,2019/01/23,C6H6,
1,2019/01/25,NO2,
3,2019/01/25,NO2,126
3,2019/01/25,CO_8h,2.4
4,2019/01/25,PM10,64
4,2019/01/25,NO2,138
4,2019/01/25,CO_8h,1.9
4,2019/01/25,C6H6,3.9
5,2019/01/25,NO2,
5,2019/01/25,O3,
2,2019/01/25,SO2,2.5
2,2019/01/25,PM10,62
2,2019/01/25,PM25,52
2,2019/01/25,NO2,100
2,2019/01/25,O3,26
2,2019/01/25,C6H6,3.3
6,2019/01/25,PM10,71
6,2019/01/25,PM25,64
6,2019/01/25,NO2,86
6,2019/01/25,CO_8h,1.5
6,2019/01/25,C6H6,3.7
7,2019/01/25,PM10,52
7,2019/01/25,NO2,84
7,2019/01/25,O3,27
8,2019/01/25,NO2,
8,2019/01/25,CO_8h,
8,2019/01/25,C6H6,
1,2019/01/28,NO2,
3,2019/01/28,NO2,72
3,2019/01/28,CO_8h,1.5
4,2019/01/28,PM10,80
4,2019/01/28,NO2,94
4,2019/01/28,CO_8h,1.5
4,2019/01/28,C6H6,3.9
5,2019/01/28,NO2,
5,2019/01/28,O3,
2,2019/01/28,SO2,2.5
2,2019/01/28,PM10,66
2,2019/01/28,PM25,60
2,2019/01/28,NO2,63
2,2019/01/28,O3,10
2,2019/01/28,C6H6,3.4
6,2019/01/28,PM10,75
6,2019/01/28,PM25,64
6,2019/01/28,NO2,63
6,2019/01/28,CO_8h,1
6,2019/01/28,C6H6,3.3
7,2019/01/28,PM10,70
7,2019/01/28,NO2,58
7,2019/01/28,O3,9
8,2019/01/28,NO2,
8,2019/01/28,CO_8h,
8,2019/01/28,C6H6,
1,2019/01/29,NO2,
3,2019/01/29,NO2,97
3,2019/01/29,CO_8h,1.7
4,2019/01/29,PM10,52
4,2019/01/29,NO2,118
4,2019/01/29,CO_8h,1.5
4,2019/01/29,C6H6,3.7
5,2019/01/29,NO2,
5,2019/01/29,O3,
2,2019/01/29,SO2,6
2,2019/01/29,PM10,46
2,2019/01/29,PM25,40
2,2019/01/29,NO2,73
2,2019/01/29,O3,43
2,2019/01/29,C6H6,2.9
6,2019/01/29,PM10,54
6,2019/01/29,PM25,43
6,2019/01/29,NO2,71
6,2019/01/29,CO_8h,1
6,2019/01/29,C6H6,3.1
7,2019/01/29,PM10,50
7,2019/01/29,NO2,71
7,2019/01/29,O3,39
8,2019/01/29,NO2,
8,2019/01/29,CO_8h,
8,2019/01/29,C6H6,
1,2019/01/30,NO2,
3,2019/01/30,NO2,119
3,2019/01/30,CO_8h,1.8
4,2019/01/30,PM10,63
4,2019/01/30,NO2,122
4,2019/01/30,CO_8h,1.7
4,2019/01/30,C6H6,4.4
5,2019/01/30,NO2,
5,2019/01/30,O3,
2,2019/01/30,SO2,7
2,2019/01/30,PM10,51
2,2019/01/30,PM25,43
2,2019/01/30,NO2,86
2,2019/01/30,O3,23
2,2019/01/30,C6H6,3.6
6,2019/01/30,PM10,58
6,2019/01/30,PM25,44
6,2019/01/30,NO2,94
